Relatório de linhas por arquivo e por módulo
Gerado em: 2026-01-19T16:00:36.015738
Raiz do repositório: c:\xampp\htdocs\ImproovWeb
Arquivos considerados (ignora .gitignore quando há Git): 645
Total de arquivos: 645  Total de linhas: 189605

Ranking de módulos por linhas:
239. Revisao/historico.php          —      138 linhas  /     1 arquivos
240. buscar_tarefas.php             —      138 linhas  /     1 arquivos
241. infoCliente/index.php          —      138 linhas  /     1 arquivos
242. Acompanhamento/style.css       —      137 linhas  /     1 arquivos
243. scripts/package-lock.json      —      137 linhas  /     1 arquivos
244. Calendario/style.css           —      135 linhas  /     1 arquivos
245. Dashboard/detalhesObra.php     —      135 linhas  /     1 arquivos
246. .gitignore                     —      134 linhas  /     1 arquivos
247. GANTT/atribuir_colaborador.php —      134 linhas  /     1 arquivos
248. GANTT/dados_colaborador.php    —      134 linhas  /     1 arquivos
249. FollowUp/index.php             —      133 linhas  /     1 arquivos
250. scripts/slack_overdue_daily.php —      133 linhas  /     1 arquivos
251. sql/2026-01-13_flow_referencias.sql —      133 linhas  /     1 arquivos
252. Relatorio/Funcao/index.php     —      132 linhas  /     1 arquivos
253. notificacoes/actions/update.php —      132 linhas  /     1 arquivos
254. Arquivos/moveArquivoStatus.php —      131 linhas  /     1 arquivos
255. Quadro/script.js               —      131 linhas  /     1 arquivos
256. Custos/style.css               —      127 linhas  /     1 arquivos
257. script/sidebar.js              —      127 linhas  /     1 arquivos
258. Relatorio/style.css            —      123 linhas  /     1 arquivos
259. SOE/tests/status_tipo_api.php  —      123 linhas  /     1 arquivos
260. charts/style.css               —      121 linhas  /     1 arquivos
261. Dashboard/briefing_arquivos_validar.php —      120 linhas  /     1 arquivos
262. review/obra.php                —      120 linhas  /     1 arquivos
263. Custos/index.php               —      119 linhas  /     1 arquivos
264. ScriptArquivos/style.css       —      118 linhas  /     1 arquivos
265. Upload/upload.php              —      118 linhas  /     1 arquivos
266. Relatorio/relatorio.php        —      117 linhas  /     1 arquivos
267. backend.php                    —      117 linhas  /     1 arquivos
268. Colaborador/index.php          —      116 linhas  /     1 arquivos
269. scripts/archive_obra_uploads.php —      116 linhas  /     1 arquivos
270. sql/2026-01-14_notificacoes_module.sql —      116 linhas  /     1 arquivos
271. submit_respostas.php           —      116 linhas  /     1 arquivos
272. Prioridade/script.js           —      115 linhas  /     1 arquivos
273. Dashboard/saveImages.php       —      114 linhas  /     1 arquivos
274. FlowReview/carrossel_angulos.css —      114 linhas  /     1 arquivos
275. Acompanhamento/index.php       —      113 linhas  /     1 arquivos
276. Relatorio/Funcao/dados.php     —      113 linhas  /     1 arquivos
277. Revisao/vendor/composer/installed.php —      113 linhas  /     1 arquivos
278. vendor/composer/installed.php  —      113 linhas  /     1 arquivos
279. Dashboard/popoverAcomp.css     —      112 linhas  /     1 arquivos
280. atualizacoes.php               —      112 linhas  /     1 arquivos
281. css/styleDashboard2.css        —      112 linhas  /     1 arquivos
282. unifyAcompanhamentos.php       —      112 linhas  /     1 arquivos
283. PaginaPrincipal/get_daily_panel.php —      110 linhas  /     1 arquivos
284. PainelProducao/getImagens.php  —      110 linhas  /     1 arquivos
285. Revisao/upload.php             —      110 linhas  /     1 arquivos
286. Acompanhamento/script.js       —      109 linhas  /     1 arquivos
287. FlowReview/generate_obra_tokens.php —      108 linhas  /     1 arquivos
288. notificacoes/actions/create.php —      108 linhas  /     1 arquivos
289. Dashboard/README_atualizar_prazo.md —      107 linhas  /     1 arquivos
290. Animacao/inserir_animacao.php  —      106 linhas  /     1 arquivos
291. Obras/script.js                —      106 linhas  /     1 arquivos
292. Revisao/vendor/composer/autoload_static.php —      106 linhas  /     1 arquivos
293. Colaborador/script.js          —      102 linhas  /     1 arquivos
294. PaginaPrincipal/Overview/getMetrics.php —      102 linhas  /     1 arquivos
295. insereFuncao.php               —      102 linhas  /     1 arquivos
296. scripts/ws-server.js           —      101 linhas  /     1 arquivos
297. Dashboard/scriptProjetos.js    —       98 linhas  /     1 arquivos
298. Prioridade/style.css           —       98 linhas  /     1 arquivos
299. Relatorio/index.php            —       98 linhas  /     1 arquivos
300. login.php                      —       97 linhas  /     1 arquivos
301. vendor/composer/autoload_static.php —       96 linhas  /     1 arquivos
302. FlowReview/get_angulos_imagem.php —       95 linhas  /     1 arquivos
303. Obras/index.php                —       95 linhas  /     1 arquivos
304. PaginaPrincipal/Overview/getResumo.php —       95 linhas  /     1 arquivos
305. insereFuncao2.php              —       94 linhas  /     1 arquivos
306. Obras/getItensEntregaPorAcompanhamento.php —       93 linhas  /     1 arquivos
307. Prioridade/index.php           —       93 linhas  /     1 arquivos
308. followup.php                   —       93 linhas  /     1 arquivos
309. Dashboard/Calendario/getEventos.php —       92 linhas  /     1 arquivos
310. Dashboard/inserir_imagem.php   —       91 linhas  /     1 arquivos
311. Dashboard/projetos.php         —       91 linhas  /     1 arquivos
312. ML/doc/entregas.md             —       91 linhas  /     1 arquivos
313. TelaGerencial/buscar_dados_grafico.php —       91 linhas  /     1 arquivos
314. Planner/get_entrega_detalhe.php —       89 linhas  /     1 arquivos
315. css/styleUsuario.css           —       89 linhas  /     1 arquivos
316. GANTT/get_colaboradores_por_funcao.php —       88 linhas  /     1 arquivos
317. atualiza_log_tela.php          —       88 linhas  /     1 arquivos
318. review/index.php               —       88 linhas  /     1 arquivos
319. ControleComercial/inserir_orcamento.php —       86 linhas  /     1 arquivos
320. FlowReferencias/delete.php     —       86 linhas  /     1 arquivos
321. Dashboard/Calendario/eventoController.php —       85 linhas  /     1 arquivos
322. FlowReview/auth_login.php      —       85 linhas  /     1 arquivos
323. Arquivos/script.test.js        —       84 linhas  /     1 arquivos
324. Projetos/getDados.php          —       84 linhas  /     1 arquivos
325. TelaGerencial/style.css        —       84 linhas  /     1 arquivos
326. TelaGerencial/backend.php      —       83 linhas  /     1 arquivos
327. Entregas/listar_entregas.php   —       82 linhas  /     1 arquivos
328. FlowTrack/Report/index.php     —       81 linhas  /     1 arquivos
329. Quadro/style.css               —       81 linhas  /     1 arquivos
330. script/scriptLogin.js          —       81 linhas  /     1 arquivos
331. Dashboard/addAcompanhamento.php —       80 linhas  /     1 arquivos
332. Entregas/add_imagem_entrega_id.php —       80 linhas  /     1 arquivos
333. script/scriptUsuario.js        —       79 linhas  /     1 arquivos
334. FlowReview/buscar_decisoes.php —       78 linhas  /     1 arquivos
335. FlowTrack/Radar/index.php      —       78 linhas  /     1 arquivos
336. scripts/txt_importer/test_db_connection.py —       78 linhas  /     1 arquivos
337. Dashboard/detalhesObra.html    —       77 linhas  /     1 arquivos
338. FlowReferencias/getTaxonomia.php —       77 linhas  /     1 arquivos
339. FlowReferencias/view.php       —       77 linhas  /     1 arquivos
340. scriptLog.js                   —       77 linhas  /     1 arquivos
341. tools/repair_broken_version_snippet.php —       77 linhas  /     1 arquivos
342. FollowUp/get_images.php        —       76 linhas  /     1 arquivos
343. PaginaPrincipal/atualizaTarefa.php —       76 linhas  /     1 arquivos
344. SOE/tests/assets/status_dashboard.js —       75 linhas  /     1 arquivos
345. tools/repair_version_snippet_slashbackslash.php —       75 linhas  /     1 arquivos
346. Briefing/style.css             —       74 linhas  /     1 arquivos
347. infoCliente/insert_contato.php —       74 linhas  /     1 arquivos
348. Dashboard/styleDetalhes.css    —       73 linhas  /     1 arquivos
349. FlowReview/auth_register.php   —       73 linhas  /     1 arquivos
350. GANTT/gantt.php                —       73 linhas  /     1 arquivos
351. Gestao/getFuncoesDados.php     —       73 linhas  /     1 arquivos
352. PainelProducao/getColabMetrics.php —       73 linhas  /     1 arquivos
353. buscaLinhaAJAX.php             —       73 linhas  /     1 arquivos
354. css/modalSessao.css            —       73 linhas  /     1 arquivos
355. Alteracao/style.css            —       72 linhas  /     1 arquivos
356. Entregas/save_entrega.php      —       72 linhas  /     1 arquivos
357. Relatorio/crud_hold.php        —       72 linhas  /     1 arquivos
358. review/teste/index.php         —       72 linhas  /     1 arquivos
359. Dashboard/dadosMeses.php       —       71 linhas  /     1 arquivos
360. Revisao/buscar_comentarios.php —       71 linhas  /     1 arquivos
361. sql/handoff_comercial.sql      —       71 linhas  /     1 arquivos
362. index.html                     —       70 linhas  /     1 arquivos
363. Dashboard/obras.php            —       69 linhas  /     1 arquivos
364. Custos/busca_comercial.php     —       67 linhas  /     1 arquivos
365. Gestao/getMetrics.php          —       67 linhas  /     1 arquivos
366. Calendario/addObraPrazo.php    —       66 linhas  /     1 arquivos
367. PaginaPrincipal/Overview/ideias.txt —       66 linhas  /     1 arquivos
368. calendar.php                   —       66 linhas  /     1 arquivos
369. Animacao/delete.php            —       64 linhas  /     1 arquivos
370. Relatorio/Funcao/script.js     —       64 linhas  /     1 arquivos
371. sql/briefing_arquivos.sql      —       64 linhas  /     1 arquivos
372. Custos/importar_comerciais.php —       63 linhas  /     1 arquivos
373. ScriptArquivos/processa_upload.php —       63 linhas  /     1 arquivos
374. process_csv.php                —       63 linhas  /     1 arquivos
375. Dashboard/upload_arquivo_acomp.php —       62 linhas  /     1 arquivos
376. Entregas/get_entrega_item.php  —       62 linhas  /     1 arquivos
377. review/getImagens.php          —       61 linhas  /     1 arquivos
378. Producao/style.css             —       60 linhas  /     1 arquivos
379. assets/ImproovFlow - logo.png  —       60 linhas  /     1 arquivos
380. atribuir_flow_radar.php        —       60 linhas  /     1 arquivos
381. atualizarObraStatus.php        —       60 linhas  /     1 arquivos
382. css/stylePadrao.css            —       60 linhas  /     1 arquivos
383. Animacao/buscaAJAX.php         —       59 linhas  /     1 arquivos
384. FlowReview/salvar_comentario.php —       59 linhas  /     1 arquivos
385. charts/data.php                —       59 linhas  /     1 arquivos
386. inserir_acomp.php              —       59 linhas  /     1 arquivos
387. review/salvar_comentario.php   —       59 linhas  /     1 arquivos
388. Animacao/buscar_imagens.php    —       58 linhas  /     1 arquivos
389. CHANGELOG/Flow/uploadArquivos.md —       58 linhas  /     1 arquivos
390. Prioridade/colaboradores.php   —       58 linhas  /     1 arquivos
391. Quadro/index.php               —       58 linhas  /     1 arquivos
392. Alteracao/getAlteracao.php     —       56 linhas  /     1 arquivos
393. Colaborador/get_usuario.php    —       56 linhas  /     1 arquivos
394. carregar_logs.php              —       56 linhas  /     1 arquivos
